                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.568,                 1.6193,                 1.4603,                 0.6571,                0.40326,                0.42789,                 0.1964,                 1.8392,                 1.6742,                 1.7125,             0.00066597,             0.00066597,             0.00066597
                      2,                 1.5353,                 1.4571,                 1.4506,                 0.6871,                0.46674,                0.48872,                0.24993,                 1.6487,                 1.4425,                 1.5727,             0.00067298,             0.00067298,             0.00067298
